JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451001.2,9.1,,,Vis.,ZLT,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451012.8,9.2,,,Vis.,MOW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451013.8583,9.4,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451017.2,9.4,,,Vis.,ZLT,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451018.5,9.5,,,Vis.,HCS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451020.5,9.6,,,Vis.,KOC,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451021.54,9.0,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451024.5104,8.9,,,Vis.,MZS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.5,,,Vis.,FRF,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.0,,,Vis.,KGQ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.5,,,Vis.,KIL,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.4,,,Vis.,KOC,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.5,,,Vis.,OSV,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.5,9.5,,,Vis.,SGX,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451025.8813,9.5,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451025.9,9.4,,,Vis.,LZT,B,,,,,,,V,,,,OMI CET,,STD,,,,
2451026.9,9.5,,,Vis.,AKT,S,,,,,,,V,,,,OMI CET,,STD,,,,
2451027.5,9.5,,,Vis.,SKI,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451027.8,<8.8,,,Vis.,SET,,,,,,,,V,,,,OMI CET,,STD,,,,
2451028.6,9.4,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451030.5875,9.39,,,Vis.,TOO,,,,,C200,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451031.7,9.4,,,Vis.,SCZ,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451041.5,9.4,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451041.556,9.1,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451043.52,9.4,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451043.57,9.8,,,Vis.,GRL,TU,,,,,,,V,,,,OMI CET,NAS,STD,,,,
