# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Tue May 13 20:48:18 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 22.08700,-0.00000,8.67000,-0.44364,0.00000
# ------------------------------------------------------------------------
# Spectra synthesized with the Planetary and Universal Model of Atmospheric Scattering (PUMAS, Villanueva et al. 2018, 2022)
# Multiple scattering method employing PSGDORT, NMAX:2 / LMAX:60 / gMAX:0.95
# Radiative transfer took 5.580 seconds
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Spectral irradiance [Jy]
# Wave/freq Total Jupiter
1.000000000e-01  0.0000000e+00  0.00000e+00
1.010000000e-01  0.0000000e+00  0.00000e+00
1.020100000e-01  0.0000000e+00  0.00000e+00
1.030301000e-01  0.0000000e+00  0.00000e+00
1.040604010e-01  0.0000000e+00  0.00000e+00
1.051010050e-01  0.0000000e+00  0.00000e+00
1.061520151e-01  0.0000000e+00  0.00000e+00
1.072135352e-01  0.0000000e+00  0.00000e+00
1.082856706e-01  0.0000000e+00  0.00000e+00
1.093685273e-01  0.0000000e+00  0.00000e+00
1.104622125e-01  0.0000000e+00  0.00000e+00
1.115668347e-01  0.0000000e+00  0.00000e+00
1.126825030e-01  0.0000000e+00  0.00000e+00
1.138093280e-01  0.0000000e+00  0.00000e+00
1.149474213e-01  0.0000000e+00  0.00000e+00
1.160968955e-01  0.0000000e+00  0.00000e+00
1.172578645e-01  0.0000000e+00  0.00000e+00
1.184304431e-01  0.0000000e+00  0.00000e+00
1.196147476e-01  0.0000000e+00  0.00000e+00
1.208108950e-01  0.0000000e+00  0.00000e+00
1.220190040e-01  0.0000000e+00  0.00000e+00
1.232391940e-01  0.0000000e+00  0.00000e+00
1.244715860e-01  0.0000000e+00  0.00000e+00
1.257163018e-01  0.0000000e+00  0.00000e+00
1.269734649e-01 3.7801930e-293 3.78019e-293
1.282431995e-01 4.0201967e-290 4.02020e-290
1.295256315e-01 3.9891027e-287 3.98910e-287
1.308208878e-01 3.6956451e-284 3.69565e-284
1.321290967e-01 3.1986858e-281 3.19869e-281
1.334503877e-01 2.5881654e-278 2.58817e-278
1.347848915e-01 1.9589497e-275 1.95895e-275
1.361327404e-01 1.3873802e-272 1.38738e-272
1.374940679e-01 9.1967334e-270 9.19673e-270
1.388690085e-01 5.6992219e-267 5.69922e-267
1.402576986e-01 3.2867137e-264 3.28671e-264
1.416602756e-01 1.7433233e-261 1.74332e-261
1.430768784e-01 7.4334668e-259 7.43347e-259
1.445076471e-01 5.2595320e-256 5.25953e-256
1.459527236e-01 1.6959936e-249 1.69599e-249
1.474122509e-01 1.2412648e-246 1.24126e-246
1.488863734e-01 1.6222225e-244 1.62222e-244
1.503752371e-01 1.4974641e-242 1.49746e-242
1.518789895e-01 1.5264478e-240 1.52645e-240
1.533977794e-01 5.7063894e-245 5.70639e-245
1.549317572e-01 1.8696723e-242 1.86967e-242
1.564810747e-01 6.1461954e-240 6.14620e-240
1.580458855e-01 1.7652538e-237 1.76525e-237
1.596263443e-01 5.1073781e-235 5.10738e-235
1.612226078e-01 1.2716297e-232 1.27163e-232
1.628348338e-01 2.9766449e-230 2.97664e-230
1.644631822e-01 6.5792208e-228 6.57922e-228
1.661078140e-01 1.2994811e-225 1.29948e-225
1.677688921e-01 2.3796599e-223 2.37966e-223
1.694465811e-01 4.0450315e-221 4.04503e-221
1.711410469e-01 3.2839270e-217 3.28393e-217
1.728524573e-01 4.5964167e-209 4.59642e-209
1.745809819e-01 7.9780931e-203 7.97809e-203
1.763267917e-01 2.1709475e-194 2.17095e-194
1.780900597e-01 9.1766373e-186 9.17664e-186
1.798709603e-01 2.3770831e-179 2.37708e-179
1.816696699e-01 2.1845814e-174 2.18458e-174
1.834863666e-01 8.6726634e-167 8.67266e-167
1.853212302e-01 8.9882368e-161 8.98824e-161
1.871744425e-01 1.8261301e-156 1.82613e-156
1.890461869e-01 8.9378286e-152 8.93783e-152
1.909366488e-01 2.2348938e-147 2.23489e-147
1.928460153e-01 6.8990247e-144 6.89902e-144
1.947744755e-01 5.8491296e-142 5.84913e-142
1.967222202e-01 4.8851402e-138 4.88514e-138
1.986894424e-01 6.7916934e-135 6.79169e-135
2.006763368e-01  0.0000000e+00  0.00000e+00
2.026831002e-01  7.3179894e-69  7.31799e-69
2.047099312e-01  0.0000000e+00  0.00000e+00
2.067570305e-01  0.0000000e+00  0.00000e+00
2.088246008e-01  5.6451314e-67  5.64513e-67
2.109128468e-01  0.0000000e+00  0.00000e+00
2.130219753e-01  0.0000000e+00  0.00000e+00
2.151521951e-01  0.0000000e+00  0.00000e+00
2.173037170e-01  0.0000000e+00  0.00000e+00
2.194767542e-01  0.0000000e+00  0.00000e+00
2.216715217e-01  0.0000000e+00  0.00000e+00
2.238882369e-01  1.6218021e-62  1.62180e-62
2.261271193e-01  0.0000000e+00  0.00000e+00
2.283883905e-01  2.6768455e-61  2.67685e-61
2.306722744e-01  3.4491030e-61  3.44910e-61
2.329789971e-01  0.0000000e+00  0.00000e+00
2.353087871e-01  2.1807896e-60  2.18079e-60
2.376618750e-01  2.1063838e-54  2.10638e-54
2.400384937e-01  1.5942718e-53  1.59427e-53
2.424388787e-01  3.0828815e-53  3.08288e-53
2.448632675e-01  2.2615111e-52  2.26151e-52
2.473119001e-01  5.0190487e-52  5.01905e-52
2.497850191e-01  2.1585594e-51  2.15856e-51
2.522828693e-01  1.1697317e-50  1.16973e-50
2.548056980e-01  3.5358564e-50  3.53586e-50
2.573537550e-01  1.0771443e-49  1.07714e-49
2.599272926e-01  4.5840011e-49  4.58400e-49
2.625265655e-01  1.4099466e-48  1.40995e-48
2.651518311e-01  3.8614518e-48  3.86145e-48
2.678033494e-01  1.4235038e-47  1.42350e-47
2.704813829e-01  5.0308927e-47  5.03089e-47
2.731861968e-01  1.4083662e-46  1.40837e-46
2.759180587e-01  3.9970730e-46  3.99707e-46
2.786772393e-01  1.0628622e-45  1.06286e-45
2.814640117e-01  1.1563343e-45  1.15633e-45
2.842786518e-01  1.4651788e-44  1.46518e-44
2.871214384e-01  3.8275076e-44  3.82751e-44
2.899926527e-01  9.2382615e-44  9.23826e-44
2.928925793e-01  3.3318420e-43  3.33184e-43
2.958215051e-01  2.4522463e-43  2.45225e-43
2.987797201e-01  1.9436232e-42  1.94362e-42
3.017675173e-01  3.5889661e-42  3.58897e-42
3.047851925e-01  1.9671680e-41  1.96717e-41
3.078330444e-01  3.8619618e-41  3.86196e-41
3.109113749e-01  5.9942621e-41  5.99426e-41
3.140204886e-01  5.1856189e-41  5.18562e-41
3.171606935e-01  1.5455361e-39  1.54554e-39
3.203323004e-01  8.2740353e-40  8.27404e-40
3.235356234e-01  3.3745453e-39  3.37455e-39
3.267709797e-01  1.4676160e-38  1.46762e-38
3.300386895e-01  2.4713343e-38  2.47133e-38
3.333390764e-01  2.9904037e-38  2.99040e-38
3.366724671e-01  1.9494434e-39  1.94944e-39
3.400391918e-01  6.9989951e-37  6.99900e-37
3.434395837e-01  1.0337061e-36  1.03371e-36
3.468739795e-01  1.7723517e-37  1.77235e-37
3.503427193e-01  8.1567514e-36  8.15675e-36
3.538461465e-01  1.9229506e-35  1.92295e-35
3.573846080e-01  4.8459370e-35  4.84594e-35
3.609584541e-01  1.6911398e-35  1.69114e-35
3.645680386e-01  1.9154346e-36  1.91543e-36
3.682137190e-01  4.2623537e-34  4.26235e-34
3.718958562e-01  3.9956143e-34  3.99561e-34
3.756148148e-01  2.1003471e-34  2.10035e-34
3.793709629e-01  1.0185947e-33  1.01859e-33
3.831646725e-01  3.5814269e-33  3.58143e-33
3.869963193e-01  4.1074031e-32  4.10740e-32
3.908662824e-01  6.9426241e-32  6.94262e-32
3.947749453e-01  1.7921579e-32  1.79216e-32
3.987226947e-01  1.1216796e-36  1.12168e-36
4.027099217e-01  5.5555073e-32  5.55551e-32
4.067370209e-01  1.6908533e-31  1.69085e-31
4.108043911e-01  7.1254829e-31  7.12548e-31
4.149124350e-01  1.2459338e-31  1.24593e-31
4.190615594e-01  8.9457978e-33  8.94580e-33
4.232521750e-01  5.6021294e-30  5.60213e-30
4.274846967e-01  1.1097218e-30  1.10972e-30
4.317595437e-01  1.0500205e-29  1.05002e-29
4.360771391e-01  6.6469772e-31  6.64698e-31
4.404379105e-01  1.0092853e-37  1.00929e-37
4.448422896e-01  1.3839444e-39  1.38394e-39
4.492907125e-01  1.2771035e-29  1.27710e-29
4.537836196e-01  4.0568857e-43  4.05689e-43
4.583214558e-01  2.8432848e-44  2.84328e-44
4.629046704e-01  5.6047371e-44  5.60474e-44
4.675337171e-01  1.4230594e-43  1.42306e-43
4.722090543e-01  3.9276752e-43  3.92768e-43
4.769311448e-01  1.1977540e-42  1.19775e-42
4.817004562e-01  7.1080357e-43  7.10804e-43
4.865174608e-01  1.4410873e-43  1.44109e-43
4.913826354e-01  1.7531387e-42  1.75314e-42
4.962964618e-01  5.7077269e-42  5.70773e-42
5.012594264e-01  9.0104691e-42  9.01047e-42
5.062720206e-01  5.2852141e-42  5.28521e-42
5.113347409e-01  8.4670198e-42  8.46702e-42
5.164480883e-01  2.3075429e-41  2.30754e-41
5.216125691e-01  3.9088476e-41  3.90885e-41
5.268286948e-01  7.2870377e-41  7.28704e-41
5.320969818e-01  1.0657041e-40  1.06570e-40
5.374179516e-01  5.3110647e-41  5.31106e-41
5.427921311e-01  8.3812906e-42  8.38129e-42
5.482200524e-01  4.3474119e-40  4.34741e-40
5.537022530e-01  1.1425638e-39  1.14256e-39
5.592392755e-01  1.9714874e-39  1.97149e-39
5.648316682e-01  3.8077007e-39  3.80770e-39
5.704799849e-01  5.0754084e-39  5.07541e-39
5.761847848e-01  6.0305774e-39  6.03058e-39
5.819466326e-01  2.6715349e-38  2.67153e-38
5.877660989e-01  5.0695171e-38  5.06952e-38
5.936437599e-01  6.7135127e-38  6.71351e-38
5.995801975e-01  1.4252072e-37  1.42521e-37
6.055759995e-01  3.1595467e-37  3.15955e-37
6.116317595e-01  1.2582716e-37  1.25827e-37
6.177480771e-01  3.6138585e-39  3.61386e-39
6.239255579e-01  5.4539022e-38  5.45390e-38
6.301648135e-01  2.9097607e-36  2.90976e-36
6.364664616e-01  5.9690663e-36  5.96907e-36
6.428311262e-01  7.7277702e-36  7.72777e-36
6.492594375e-01  9.8497012e-36  9.84970e-36
6.557520318e-01  1.5223763e-35  1.52238e-35
6.623095522e-01  1.7677656e-35  1.76777e-35
6.689326477e-01  3.9672131e-35  3.96721e-35
6.756219742e-01  2.5053145e-34  2.50531e-34
6.823781939e-01  3.8169867e-34  3.81699e-34
6.892019758e-01  6.6008344e-34  6.60083e-34
6.960939956e-01  8.0630238e-34  8.06302e-34
7.030549355e-01  3.7303488e-34  3.73035e-34
7.100854849e-01  2.0625319e-33  2.06253e-33
7.171863398e-01  4.2463108e-34  4.24631e-34
7.243582032e-01  4.4336005e-36  4.43360e-36
7.316017852e-01  2.8089444e-35  2.80894e-35
7.389178030e-01  1.0852265e-32  1.08523e-32
7.463069811e-01  6.1474896e-32  6.14749e-32
7.537700509e-01  1.1224963e-31  1.12250e-31
7.613077514e-01  1.4486527e-31  1.44865e-31
7.689208289e-01  1.5113456e-31  1.51135e-31
7.766100372e-01  1.5492728e-31  1.54927e-31
7.843761376e-01  9.9006147e-32  9.90061e-32
7.922198989e-01  1.9041209e-31  1.90412e-31
8.001420979e-01  2.7971084e-31  2.79711e-31
8.081435189e-01  1.7844784e-30  1.78448e-30
8.162249541e-01  8.1068499e-30  8.10685e-30
8.243872036e-01  2.3183982e-29  2.31840e-29
8.326310757e-01  5.3819591e-29  5.38196e-29
8.409573864e-01  9.9746411e-29  9.97464e-29
8.493669603e-01  1.4787834e-28  1.47878e-28
8.578606299e-01  2.3881218e-28  2.38812e-28
8.664392362e-01  2.8419172e-28  2.84192e-28
8.751036286e-01  5.2589953e-29  5.25900e-29
8.838546648e-01  4.2304167e-30  4.23042e-30
8.926932115e-01  1.7257975e-30  1.72580e-30
9.016201436e-01  4.4756745e-29  4.47567e-29
9.106363450e-01  1.3206928e-27  1.32069e-27
9.197427085e-01  5.7576083e-27  5.75761e-27
9.289401356e-01  3.2117191e-28  3.21172e-28
9.382295369e-01  6.5433724e-27  6.54337e-27
9.476118323e-01  3.4855584e-26  3.48556e-26
9.570879506e-01  3.8638697e-26  3.86387e-26
9.666588301e-01  2.2455211e-26  2.24552e-26
9.763254184e-01  1.9017425e-26  1.90174e-26
9.860886726e-01  1.6116696e-26  1.61167e-26
9.959495593e-01  1.6343005e-26  1.63430e-26
1.005909055e+00  2.8212402e-26  2.82124e-26
1.015968145e+00  7.2763066e-26  7.27631e-26
1.026127827e+00  2.5387078e-25  2.53871e-25
1.036389105e+00  6.8329683e-25  6.83297e-25
1.046752996e+00  1.3152125e-24  1.31521e-24
1.057220526e+00  3.3552779e-24  3.35528e-24
1.067792731e+00  1.2138708e-23  1.21387e-23
1.078470659e+00  3.1533482e-23  3.15335e-23
1.089255365e+00  3.9792069e-23  3.97921e-23
1.100147919e+00  4.2643475e-23  4.26435e-23
1.111149398e+00  1.4399173e-23  1.43992e-23
1.122260892e+00  3.5077301e-24  3.50773e-24
1.133483501e+00  1.9668110e-24  1.96681e-24
1.144818336e+00  3.6622090e-24  3.66221e-24
1.156266520e+00  9.9016625e-24  9.90166e-24
1.167829185e+00  1.8964409e-23  1.89644e-23
1.179507477e+00  2.6379227e-23  2.63792e-23
1.191302551e+00  1.0469337e-22  1.04693e-22
1.203215577e+00  4.7538717e-22  4.75387e-22
1.215247733e+00  1.2923900e-21  1.29239e-21
1.227400210e+00  1.7527911e-21  1.75279e-21
1.239674212e+00  3.8549985e-21  3.85500e-21
1.252070954e+00  7.4997454e-21  7.49975e-21
1.264591664e+00  1.3378994e-20  1.33790e-20
1.277237580e+00  2.9704388e-20  2.97044e-20
1.290009956e+00  4.8982709e-20  4.89827e-20
1.302910056e+00  8.8256588e-20  8.82566e-20
