-1.00	0.034	0.026	0.025	0.042	0.018	0.018
-1.50	0.070	0.074	0.085	0.120	0.062	0.062
-2.00	0.155	0.176	0.207	0.274	0.197	0.197
-2.50	0.325	0.382	0.456	0.590	0.484	0.484
-3.00	0.680	0.885	1.084	1.428	1.090	1.089
-3.25	1.089	1.428	1.789	2.318	1.573	1.568
-3.50	1.568	2.060	2.846	3.234	2.234	2.211
-3.75	2.240	3.107	4.065	4.117	3.208	3.142
-4.00	3.186	4.836	5.430	5.045	5.440	5.718
-4.25	4.819	6.763	6.875	6.008	8.360	8.390
-4.50	7.161	8.693	8.371	6.919	10.571	10.453
-4.75	9.831	10.711	9.767	7.697	12.666	12.408
-5.00	12.574	12.829	11.054	8.268	14.668	14.165
